cw	x	y	cluster_number	silhouette	medoid_label	final_cluster
bit/rr	-18.34536538868393	-0.9094034541128612	5	0.5913327	one/pn	one/pn
blood/nn	-23.837166934227128	13.664046513504655	1	0.1470094	drug/nn	drug/nn
blurb/nn	34.76668553926583	-20.826184023892658	10	0.00860673	live/nn	live/nn
body/nn	-32.975297865376916	6.2949326648178205	8	0.040653713	bag/nn	bag/nn
bond/nn	30.794420917924274	7.236802786291969	0	0.5536279	discount/nn	discount/nn
bonus/nn	31.604262531300236	12.652676396502864	0	0.51995987	discount/nn	discount/nn
booklet/nn	-14.290284456792559	-15.48708755582585	13	0.08406617	book/nn	book/nn
books/nn	40.94087429167663	-23.050759319214848	10	0.4268141	live/nn	live/nn
book/nn	-11.631753722561466	-20.05945920080756	13	0.51553077	book/nn	book/nn
brand/nn	-28.76888329337663	12.730052829090724	6	0.2423484	plant/nn	plant/nn
break/nn	-6.861651792099958	-20.577471119252134	13	0.54026836	book/nn	book/nn
broadcast/nn	-8.060768759401258	-22.11947145453433	13	0.57127196	book/nn	book/nn
buck/nn	34.33665892792422	2.0912724357946253	0	0.033533063	discount/nn	discount/nn
budget/nn	27.224989917431483	12.49053734115693	0	0.32286605	discount/nn	discount/nn
bulb/nn	-39.281991738866935	8.29858687013615	8	0.312189	bag/nn	bag/nn
cable/nn	-8.613976573260457	-22.54495516031689	13	0.53652686	book/nn	book/nn
call/nn	-11.045135038511642	-16.949069652726592	13	0.40145975	book/nn	book/nn
can/nn	-39.189378354136124	11.461930584360488	8	-0.07284717	bag/nn	NA
car/nn	-37.33973215303202	6.471458429378336	8	0.2964933	bag/nn	bag/nn
card/nn	32.937924405932364	7.130368823822148	0	0.28242457	discount/nn	discount/nn
cards/nn	41.76901222131544	-21.851417312138455	10	0.39622876	live/nn	live/nn
care/nn	3.3629055847916516	17.808034118665848	4	0.44618437	service/nn	service/nn
cash/nn	33.87800660802484	6.012116374506308	0	0.47053894	discount/nn	discount/nn
cents/nn	39.33870429859993	-16.771168643494253	2	0.19073683	referrals/nn	referrals/nn
cent/nn	34.72784958649831	2.3208886472817656	0	0.08828899	discount/nn	discount/nn
certificate/nn	-15.413150616676413	-11.710874433262221	14	0.16634195	these/dd	these/dd
chance/nn	-1.5818239996569912	5.0532382788976005	12	0.046333168	power/nn	power/nn
checkbook/nn	32.493771594605086	7.823949075621162	0	0.4701564	discount/nn	discount/nn
choice/nn	9.78785391268155	11.42689964520489	7	0.24325427	appeal/nn	appeal/nn
clue/nn	-13.990104413318567	-9.71360146461908	14	0.3478039	these/dd	these/dd
clues/nn	42.18113353617283	-17.21344357796985	10	0.1691972	live/nn	live/nn
coat/nn	-40.93989474079778	3.0196988215970015	8	0.4650312	bag/nn	bag/nn
codes/nn	35.90053199564817	-19.162268720731827	2	0.24396253	referrals/nn	referrals/nn
comedies/nn	39.729647604418766	-23.105691860545676	10	0.370104	live/nn	live/nn
code/nn	8.5128858828727	13.50214174123777	4	0.088033244	service/nn	service/nn
comedy/nn	-11.251297386296066	-21.541740307682293	13	0.53084815	book/nn	book/nn
command/nn	1.9171134008294703	14.905533807459836	12	-0.1091974	power/nn	NA
computer/nn	-16.214999442505725	-11.267186325146195	14	0.29452956	these/dd	these/dd
concession/nn	7.0646093494944	9.137767419446774	12	0.24819489	power/nn	power/nn
consistency/nn	-0.5596910813470013	4.350515466689774	12	0.16550437	power/nn	power/nn
container/nn	-35.71650764944754	11.491555413798247	6	0.21493183	plant/nn	plant/nn
containers/nn	44.6971028266377	-22.307795515250902	10	0.4732031	live/nn	live/nn
contract/nn	25.168854307742482	12.174218816911202	0	0.007989931	discount/nn	discount/nn
control/nn	1.612691957238695	8.456032592646935	12	0.25796148	power/nn	power/nn
course/nn	-0.7685597574082917	16.15087878185922	4	0.13575558	service/nn	service/nn
coverage/nn	24.33398907089994	13.019733055618477	4	0.23170091	service/nn	service/nn
credibility/nn	0.9525970853899038	3.897576889697862	12	0.30232033	power/nn	power/nn
credit-card/nn	32.87274814900291	7.196203664285733	0	0.35834128	discount/nn	discount/nn
credit/nn	31.509288369188287	8.361699708819964	0	0.5281171	discount/nn	discount/nn
creep/nn	-23.915896162902932	-4.1218816458897605	14	-0.17487057	these/dd	NA
