type_word	cluster_number	silhouette	medoid_label
books/nn	10	0.4268141	live/nn
book/nn	13	0.51553077	book/nn
brand/nn	6	0.2423484	plant/nn
break/nn	13	0.54026836	book/nn
broadcast/nn	13	0.57127196	book/nn
buck/nn	0	0.033533063	discount/nn
budget/nn	0	0.32286605	discount/nn
bulb/nn	8	0.312189	bag/nn
cable/nn	13	0.53652686	book/nn
call/nn	13	0.40145975	book/nn
can/nn	8	-0.07284717	bag/nn
car/nn	8	0.2964933	bag/nn
card/nn	0	0.28242457	discount/nn
cards/nn	10	0.39622876	live/nn
care/nn	4	0.44618437	service/nn
cash/nn	0	0.47053894	discount/nn
cents/nn	2	0.19073683	referrals/nn
cent/nn	0	0.08828899	discount/nn
certificate/nn	14	0.16634195	these/dd
chance/nn	12	0.046333168	power/nn
checkbook/nn	0	0.4701564	discount/nn
choice/nn	7	0.24325427	appeal/nn
clue/nn	14	0.3478039	these/dd
clues/nn	10	0.1691972	live/nn
coat/nn	8	0.4650312	bag/nn
codes/nn	2	0.24396253	referrals/nn
comedies/nn	10	0.370104	live/nn
code/nn	4	0.088033244	service/nn
comedy/nn	13	0.53084815	book/nn
command/nn	12	-0.1091974	power/nn
computer/nn	14	0.29452956	these/dd
concession/nn	12	0.24819489	power/nn
consistency/nn	12	0.16550437	power/nn
container/nn	6	0.21493183	plant/nn
containers/nn	10	0.4732031	live/nn
contract/nn	0	0.007989931	discount/nn
control/nn	12	0.25796148	power/nn
course/nn	4	0.13575558	service/nn
coverage/nn	4	0.23170091	service/nn
credibility/nn	12	0.30232033	power/nn
credit-card/nn	0	0.35834128	discount/nn
credit/nn	0	0.5281171	discount/nn
creep/nn	14	-0.17487057	these/dd
cup/nn	11	0.7394774	orange/nn
curriculum/nn	4	0.27477908	service/nn
custody/nn	7	0.60410327	appeal/nn
cut/nn	0	0.4117754	discount/nn
cyanide/nn	6	0.43879968	plant/nn
day/nn	3	0.63264567	half/nn
days/nn	10	0.3250548	live/nn
deal/nn	0	0.18328594	discount/nn
decision/nn	7	0.51931155	appeal/nn
deer/nn	8	0.095994525	bag/nn
degree/nn	0	0.09717119	discount/nn
degrees/nn	2	0.2968622	referrals/nn
demonstration/nn	7	0.18551032	appeal/nn
demonstrator/nn	7	0.15036973	appeal/nn
demos/nn	2	-0.048197027	referrals/nn
demo/nn	13	0.35719877	book/nn
description/nn	13	0.43317547	book/nn
detention/nn	7	0.61118656	appeal/nn
diet/nn	1	-0.012645231	drug/nn
dignity/nn	12	0.06620292	power/nn
direction/nn	12	0.31960726	power/nn
discount/nn	0	0.5704852	discount/nn
dity/nn	2	0.06265187	referrals/nn
dog/nn	8	0.31649137	bag/nn
dollar/nn	0	0.2583885	discount/nn
doubt/nn	9	0.53900826	doubt/nn
drainage/nn	6	0.2386091	plant/nn
dressing/nn	11	0.33060753	orange/nn
drug/nn	1	0.63098776	drug/nn
edge/nn	6	0.29138508	plant/nn
education/nn	4	0.36814412	service/nn
effect/nn	1	0.333535	drug/nn
eighties/mc	2	-0.2058912	referrals/nn
eighty/mc	3	0.37665796	half/nn
election/nn	7	0.22820494	appeal/nn
energy/nn	4	0.19094609	service/nn
entertainment/nn	13	0.55910814	book/nn
equipment/nn	6	0.5409965	plant/nn
estimate/nn	0	0.2491972	discount/nn
evaluation/nn	1	0.32885468	drug/nn
everything/pn	5	0.57553005	one/pn
example/nn	14	0.010267865	these/dd
exercise/nn	1	0.48914617	drug/nn
experience/nn	9	0.46887225	doubt/nn
exposure/nn	1	0.4818895	drug/nn
extra/nn	0	0.373016	discount/nn
f/np	13	0.40528923	book/nn
facts/nn	10	0.39818236	live/nn
feel/nn	5	0.6109169	one/pn
feeling/nn	9	0.52353567	doubt/nn
felony/nn	7	0.6037841	appeal/nn
fifteen/mc	3	0.6974595	half/nn
fifty-thousand/mc	2	0.03427376	referrals/nn
figures/nn	2	0.0025942386	referrals/nn
figure/nn	13	0.12976633	book/nn
fingerprint/nn	14	-0.009082209	these/dd
firepower/nn	6	0.4719863	plant/nn
fish/nn	11	0.5263383	orange/nn
flavor/nn	11	0.74472314	orange/nn
flexibility/nn	12	0.21313114	power/nn
focus/nn	12	0.323366	power/nn
food/nn	6	0.04351764	plant/nn
foothold/nn	12	0.44622928	power/nn
four/nn	2	-0.13994732	referrals/nn
freedom/nn	12	0.25752023	power/nn
friday/np	3	-0.08438382	half/nn
fruit/nn	11	0.7157903	orange/nn
game/nn	13	0.39307168	book/nn
gift/nn	14	0.0043721525	these/dd
glass/nn	8	0.36490554	bag/nn
glimpse/nn	13	0.45947263	book/nn
goal/nn	12	0.34552908	power/nn
grade/nn	4	0.15945396	service/nn
graph/nn	13	0.26377016	book/nn
grief/nn	9	0.4417075	doubt/nn
guidance/nn	4	0.13093694	service/nn
gun/nn	8	0.34271127	bag/nn
half/nn	3	0.7089993	half/nn
hdls/np	1	0.3358851	drug/nn
headache/nn	1	0.52042264	drug/nn
headlines/nn	10	0.38655603	live/nn
headline/nn	13	0.5557656	book/nn
help/nn	4	0.0639834	service/nn
her/pp	14	-0.1615549	these/dd
hers/pp	14	-0.110879816	these/dd
hint/nn	14	0.23143056	these/dd
history/nn	13	0.13545193	book/nn
homeland/nn	4	0.32092413	service/nn
hours/nn	2	-0.08587038	referrals/nn
hour/nn	3	0.6933794	half/nn
hug/nn	14	-0.092833444	these/dd
husband/nn	13	0.090337865	book/nn
idea/nn	9	0.44979843	doubt/nn
ideas/nn	10	0.28133678	live/nn
importance/nn	12	0.3898099	power/nn
impression/nn	9	0.55035186	doubt/nn
incentive/nn	0	0.3342928	discount/nn
inch/nn	3	0.7070349	half/nn
income/nn	0	0.57656306	discount/nn
independence/nn	12	0.29706797	power/nn
indication/nn	14	0.12783197	these/dd
information/nn	14	0.21458472	these/dd
injection/nn	1	0.5754471	drug/nn
inn/nn	8	0.15102917	bag/nn
insight/nn	9	0.11563564	doubt/nn
instruction/nn	4	0.21723883	service/nn
insurance/nn	0	0.32721913	discount/nn
interaction/nn	1	0.4026983	drug/nn
interest/nn	12	0.28036192	power/nn
isolation/nn	12	-0.007569934	power/nn
it/pp	5	0.67888254	one/pn
job/nn	4	0.20952068	service/nn
junkyard/nn	8	0.25334752	bag/nn
jurisdiction/nn	7	0.3632284	appeal/nn
key/nn	14	0.33502597	these/dd
keys/nn	2	0.21735315	referrals/nn
kids/nn	10	0.43720978	live/nn
kid/nn	14	-0.1953008	these/dd
kiss/nn	14	-0.044168785	these/dd
kit/nn	6	0.49791715	plant/nn
knife/nn	8	0.4754215	bag/nn
knowledge/nn	9	0.16984956	doubt/nn
labor/nn	4	0.13046546	service/nn
law/nn	7	0.21018223	appeal/nn
leeway/nn	12	0.30180526	power/nn
less/da	0	0.20482273	discount/nn
license/nn	4	0.36467052	service/nn
life/nn	9	0.3218504	doubt/nn
lift/nn	6	0.33117875	plant/nn
light/nn	8	0.3510929	bag/nn
limits/nn	10	0.42113867	live/nn
limit/nn	0	0.36199617	discount/nn
list/nn	13	0.258442	book/nn
literature/nn	13	0.37987128	book/nn
live/nn	10	0.5071983	live/nn
loan/nn	0	0.5801139	discount/nn
lollipop/nn	11	0.5203229	orange/nn
look/nn	13	0.48960888	book/nn
lot/rr	5	0.57851356	one/pn
magazine/nn	13	0.5654614	book/nn
mail/nn	0	-0.08855483	discount/nn
maximum/nn	3	0.34677625	half/nn
measurement/nn	14	-0.19453222	these/dd
medication/nn	1	0.62196183	drug/nn
medicine/nn	1	0.63741076	drug/nn
meeting/nn	13	0.09269721	book/nn
message/nn	13	0.13582645	book/nn
million/nn	0	-0.071613014	discount/nn
minimum/nn	0	-0.060628757	discount/nn
minute/nn	3	0.6868928	half/nn
money/nn	0	0.5298119	discount/nn
