cluster_number	medoid_label	silhouette	type_word
2	drainage/nn	0.28035405	supply/nn
0	thrust/nn	0.17779021	support/nn
3	pat/nn	0.4691681	sweatshirt/nn
6	experience/nn	0.21682371	sympathy/nn
4	broadcast/nn	0.42895895	synopsis/nn
1	access/nn	0.23066123	system/nn
6	experience/nn	0.3024237	talent/nn
4	broadcast/nn	0.2726487	talk/nn
11	tang/nn	0.6970177	tang/nn
2	drainage/nn	0.44864887	tank/nn
4	broadcast/nn	0.35308376	tape/nn
10	discount/nn	0.5192245	tariff/nn
11	tang/nn	0.57250106	tartness/nn
10	discount/nn	0.3789869	tax-credit/nn
10	discount/nn	0.470464	tax-cut/nn
10	discount/nn	0.5308308	tax/nn
4	broadcast/nn	0.454045	television/nn
14	one/pn	0.59525466	tempt/vv
8	minute/nn	0.35451087	ten/mc
7	transfusion/nn	0.41214678	test/nn
7	transfusion/nn	0.323819	testing/nn
14	one/pn	0.63361347	that/dd
14	one/pn	0.5296462	them/pp
7	transfusion/nn	0.5303913	therapy/nn
12	list/nn	0.16469055	these/dd
14	one/pn	0.60524213	thing/nn
4	broadcast/nn	0.23122534	this/dd
12	list/nn	-0.14572191	those/dd
6	experience/nn	0.44951913	thought/nn
0	thrust/nn	0.45191514	thrust/nn
0	thrust/nn	0.09743557	thumbs-down/nn
2	drainage/nn	0.059752513	ticket/nn
10	discount/nn	-0.051780164	time-off/nn
8	minute/nn	0.69093436	time/nn
12	list/nn	-0.043955777	tip/nn
12	list/nn	-0.20071034	title/nn
11	tang/nn	0.6678776	tomato/nn
2	drainage/nn	0.42525005	ton/nn
6	experience/nn	0.10014238	topic/nn
2	drainage/nn	0.43691465	toyota/np
0	thrust/nn	0.19277342	traction/nn
13	activity/nn	0.21619064	training/nn
7	transfusion/nn	0.6213982	transfusion/nn
1	access/nn	0.439282	transportation/nn
11	tang/nn	0.64286745	treat/nn
5	jurisdiction/nn	0.6569941	trial/nn
5	jurisdiction/nn	0.37272862	trie/nn
4	broadcast/nn	0.0827728	trip/nn
13	activity/nn	0.2264539	trouble/nn
14	one/pn	0.36916998	try/nn
2	drainage/nn	0.063677356	tub/nn
10	discount/nn	0.20411436	tune-up/nn
4	broadcast/nn	0.42378858	tv/nn
13	activity/nn	-0.067475185	type/nn
3	pat/nn	0.4724704	uniform/nn
4	broadcast/nn	0.47142574	update/nn
1	access/nn	0.1112123	upgrade/nn
6	experience/nn	0.40736	uplift/nn
1	access/nn	-0.0042542494	variance/nn
12	list/nn	-0.05942864	variety/nn
5	jurisdiction/nn	0.64715767	verdict/nn
0	thrust/nn	0.056755047	veto/nn
6	experience/nn	0.34416825	view/nn
3	pat/nn	0.20897982	walking/nn
2	drainage/nn	0.45110384	warhead/nn
13	activity/nn	0.37793306	warning/nn
10	discount/nn	0.5178486	warranty/nn
2	drainage/nn	0.398515	water/nn
6	experience/nn	0.14504115	way/nn
8	minute/nn	0.5184585	week/nn
14	one/pn	0.13587609	whiz/nn
13	activity/nn	-0.04335641	work/nn
7	transfusion/nn	0.48996788	workout/nn
12	list/nn	0.097192094	world/nn
9	worth/nn	0.52345854	worth/nn
8	minute/nn	0.62803864	year/nn
