cw	x	y	cluster_number	silhouette	medoid_label	final_cluster
newspaper/nn	-16.871513783899193	-16.1710085323961	8	0.3953894	process/nn	process/nn
nickel/nn	-6.494867242442821	17.470331055914954	14	0.5594019	headache/nn	headache/nn
nomination/nn	-18.263219659120214	-12.842650663441932	8	0.5398955	process/nn	process/nn
novels/nn	8.980308914013266	-2.3087537785790078	4	0.4087976	paycheck/nn	paycheck/nn
novel/nn	12.123365463205463	-3.2731635321324517	4	0.43097326	paycheck/nn	paycheck/nn
nudge/nn	-7.101090280127964	24.125267554238416	14	0.52811956	headache/nn	headache/nn
number/nn	17.05333946747654	-24.5423168443135	5	0.59705657	description/nn	description/nn
numbers/nn	17.42338065800198	-8.858272498305721	10	0.2712718	year/nn	year/nn
nutrients/nn	19.015758773396225	-28.259447454134243	5	0.5868064	description/nn	description/nn
nutrient/nn	-3.135448362997921	4.246786712619575	0	0.3806939	equipment/nn	equipment/nn
obit/nn	12.040056719323728	-3.4824169380043686	4	0.4334291	paycheck/nn	paycheck/nn
offer/nn	23.338512721881827	-4.4037261686891425	2	0.8362346	decision/nn	decision/nn
oil/nn	-8.127675981249846	-3.620882873671567	0	-0.10853595	equipment/nn	NA
one/nn	-17.07052126564827	-11.575530067497677	8	0.5384471	process/nn	process/nn
one/pn	16.896200482507403	-10.901363992535476	10	0.07003309	year/nn	year/nn
opportunities/nn	10.649132040327498	-6.3286081484483665	4	0.32701287	paycheck/nn	paycheck/nn
opportunity/nn	14.663588795235333	12.415796670158441	13	-0.0117079485	that/dd	NA
option/nn	-5.4885530334468	-1.5340224033658842	0	0.11412295	equipment/nn	equipment/nn
orange/nn	-3.7257999662127004	5.461874041765832	0	0.22514777	equipment/nn	equipment/nn
order/nn	-10.019100824083955	-25.053037280267393	7	0.3430265	custody/nn	custody/nn
ours/pp	15.602554382956312	-24.467936845436046	5	0.6301791	description/nn	description/nn
out/nn	-15.627375284822675	-15.618268982039194	8	0.2667677	process/nn	process/nn
outlook/nn	14.519502322329995	20.00013395649038	9	0.67215645	recipe/nn	recipe/nn
pad/nn	-24.42167606384941	25.571362570461606	3	0.6292386	pat/nn	pat/nn
paint/nn	-28.181328080433936	25.54500288648606	3	0.603793	pat/nn	pat/nn
pair/nn	18.810064101074538	-27.880158221693335	5	0.6058138	description/nn	description/nn
paper/nn	-16.984391582856997	-15.201643694210189	8	0.49658778	process/nn	process/nn
parking/nn	20.440940298352984	2.205966042129028	1	0.44976324	leeway/nn	leeway/nn
parole/nn	15.44639175533326	18.613941018060775	9	0.3659773	recipe/nn	recipe/nn
part/nn	14.237067059446874	-27.969514219420656	5	0.69326264	description/nn	description/nn
parts/nn	14.120522978488298	-5.412365201666933	13	-7.412021e-4	that/dd	NA
passes/nn	-28.150677313103873	22.00358121410265	3	0.44394603	pat/nn	pat/nn
pat/nn	-25.06304025035252	24.77830828307216	3	0.6673621	pat/nn	pat/nn
