cw	x	y	cluster_number	medoid_label	silhouette	final_cluster
background/nn	5.582247852018357	18.991564068840763	6	experience/nn	0.3850576	experience/nn
backpack/nn	-34.10275057707722	-1.839509414326899	3	pat/nn	0.40057948	pat/nn
bag/nn	-33.601099658380235	-1.0625077243973098	3	pat/nn	0.31444517	pat/nn
balance/nn	19.31463491404357	11.102598407787662	0	thrust/nn	0.33662412	thrust/nn
ball/nn	-35.87540444744234	-1.6833346141913468	3	pat/nn	0.45592237	pat/nn
band/nn	-17.10533210464383	-16.65732268590082	4	broadcast/nn	0.17738782	broadcast/nn
bargain/nn	30.900661509768778	-2.0212644391185997	10	discount/nn	0.38920978	discount/nn
bath/nn	-30.813242718574756	3.322056442439792	2	drainage/nn	0.135691	drainage/nn
bean/nn	-34.43523527284367	7.934494317809202	11	tang/nn	0.6748851	tang/nn
bedroom/nn	-30.66115098717363	2.189437726452458	2	drainage/nn	0.13678862	drainage/nn
benadryl/np	-19.552338015639375	6.389742012060526	11	tang/nn	0.19573987	tang/nn
benefit/nn	27.925809085570627	0.9145165771657341	10	discount/nn	0.37320468	discount/nn
best/nn	-1.1933172803982688	-1.865778207087307	14	one/pn	0.32425535	one/pn
bike/nn	-30.512540695143	-3.445019859122869	3	pat/nn	0.21107315	pat/nn
bill/nn	29.58054359193479	3.009680588694329	10	discount/nn	0.16182482	discount/nn
billion/nn	35.029526075974076	-9.044323461538891	9	worth/nn	0.3993556	worth/nn
bin/nn	-33.742280909015186	0.47887575010470407	3	pat/nn	0.278322	pat/nn
birth/nn	-14.339345664730418	7.629736797383758	7	transfusion/nn	0.5730769	transfusion/nn
bit/rr	-3.6116563205161416	-4.333587483268568	14	one/pn	0.6036523	one/pn
blood/nn	-14.163786300931992	4.788324977898583	7	transfusion/nn	0.33227408	transfusion/nn
blurb/nn	-13.631395990796415	-16.501856323012824	12	list/nn	0.02215628	list/nn
body/nn	-25.521785868626807	3.743808263528676	2	drainage/nn	0.18813603	drainage/nn
bond/nn	35.267517981289345	-4.860623146832062	10	discount/nn	0.24836269	discount/nn
